method,rank,gene,tip
diffusion_elastic,1,MAGEA10,0.8
diffusion_elastic,2,LBP,0.6
diffusion_elastic,3,PNMA5,0.6
diffusion_elastic,4,PAGE2,0.4
diffusion_elastic,5,CTAG1B,0.4
diffusion_elastic,6,NOTUM,0.4
diffusion_elastic,7,PCDHA6,0.4
diffusion_elastic,8,PPYR1,0.4
diffusion_elastic,9,CEL,0.4
diffusion_elastic,10,COL4A6,0.4
diffusion_elastic,11,TKTL1,0.4
diffusion_elastic,12,MAGEC1,0.4
diffusion_elastic,13,UPK3BL,0.4
diffusion_elastic,14,L1CAM,0.4
diffusion_elastic,15,NLRP2,0.2
diffusion_elastic,16,IL1F5,0.2
diffusion_elastic,17,MAGEA4,0.2
diffusion_elastic,18,ADH1C,0.2
diffusion_elastic,19,TF,0.2
diffusion_elastic,20,SFTPB,0.2
