method,rank,gene,tip
euclidean_elastic,1,GDF5,0.6
euclidean_elastic,2,PCDHA6,0.6
euclidean_elastic,3,GABRB3,0.6
euclidean_elastic,4,UCA1,0.6
euclidean_elastic,5,CDKL2,0.6
euclidean_elastic,6,CALB1,0.6
euclidean_elastic,7,NKX2-1,0.6
euclidean_elastic,8,CES1,0.6
euclidean_elastic,9,CSF2,0.6
euclidean_elastic,10,CST2,0.4
euclidean_elastic,11,LHFPL4,0.4
euclidean_elastic,12,MUC4,0.4
euclidean_elastic,13,SFTA3,0.4
euclidean_elastic,14,L1CAM,0.4
euclidean_elastic,15,S100A7,0.4
euclidean_elastic,16,MUC6,0.4
euclidean_elastic,17,GDA,0.4
euclidean_elastic,18,ABCA4,0.4
euclidean_elastic,19,TRY6,0.2
euclidean_elastic,20,HOXA10,0.2
dtm_elastic,1,TDRD9,0.6
dtm_elastic,2,LOC220594,0.4
dtm_elastic,3,GJB7,0.4
dtm_elastic,4,MKRN3,0.4
dtm_elastic,5,MMP23A,0.4
dtm_elastic,6,B3GNT6,0.4
dtm_elastic,7,CXorf49B,0.4
dtm_elastic,8,HSD17B6,0.4
dtm_elastic,9,NEB,0.4
dtm_elastic,10,ELFN2,0.4
dtm_elastic,11,NPAS3,0.4
dtm_elastic,12,CNGB3,0.4
dtm_elastic,13,MUCL1,0.4
dtm_elastic,14,KLK5,0.2
dtm_elastic,15,DLK1,0.2
dtm_elastic,16,PRSS21,0.2
dtm_elastic,17,POU3F2,0.2
dtm_elastic,18,XAGE2,0.2
dtm_elastic,19,ASPG,0.2
dtm_elastic,20,FOSB,0.2
