method,rank,gene,tip
phate_like_elastic,1,ATP12A,0.8
phate_like_elastic,2,SST,0.6
phate_like_elastic,3,L1CAM,0.6
phate_like_elastic,4,LOC100190940,0.4
phate_like_elastic,5,MAGEA8,0.4
phate_like_elastic,6,CGB5,0.4
phate_like_elastic,7,NOTUM,0.4
phate_like_elastic,8,CT45A1,0.4
phate_like_elastic,9,FZD10,0.4
phate_like_elastic,10,COL4A6,0.4
phate_like_elastic,11,PASD1,0.4
phate_like_elastic,12,TKTL1,0.4
phate_like_elastic,13,GAGE4,0.4
phate_like_elastic,14,TESC,0.2
phate_like_elastic,15,LHFPL4,0.2
phate_like_elastic,16,C1QL2,0.2
phate_like_elastic,17,ALPPL2,0.2
phate_like_elastic,18,PCSK1,0.2
phate_like_elastic,19,PTPRZ1,0.2
phate_like_elastic,20,REG4,0.2
