method,rank,gene,tip
ricci_elastic,1,DEFB4A,0.4
ricci_elastic,2,LOC254559,0.4
ricci_elastic,3,SPRR3,0.4
ricci_elastic,4,TMED6,0.4
ricci_elastic,5,PAK3,0.4
ricci_elastic,6,AMBP,0.2
ricci_elastic,7,SPINK5,0.2
ricci_elastic,8,PTPRZ1,0.2
ricci_elastic,9,UMODL1,0.2
ricci_elastic,10,LOC145837,0.2
ricci_elastic,11,TFF3,0.2
ricci_elastic,12,MAGEA12,0.2
ricci_elastic,13,TRIM29,0.2
ricci_elastic,14,SLC14A2,0.2
ricci_elastic,15,KIF1A,0.2
ricci_elastic,16,MAGEA6,0.2
ricci_elastic,17,KLK12,0.2
ricci_elastic,18,C9orf169,0.2
ricci_elastic,19,COX6B2,0.2
ricci_elastic,20,KHDC1L,0.2
